slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,1.0,1.25,20.0,-0.05221493558679168,3.928213390946748e-5,false
0.001,1.0,2.5,0.001,-0.05220221107387712,3.376674259631301e-5,false
0.001,1.0,2.5,0.5,-0.05233295081981507,5.1545573980243396e-5,false
0.001,1.0,2.5,1.0,-0.05230466429511587,3.5907065520090906e-5,false
0.001,1.0,2.5,2.5,-0.05225554931369372,2.69342475431392e-5,false
0.001,1.0,2.5,5.0,-0.0522237131609804,2.9387479485646227e-5,false
0.001,1.0,2.5,10.0,-0.05220314843056752,2.8815389549982486e-5,false
0.001,1.0,2.5,20.0,-0.05219270144912546,2.578291033587069e-5,false
0.001,1.0,5.0,0.001,-0.05219279936805244,2.639447767551949e-5,false
0.001,1.0,5.0,0.5,-0.05224414445002954,5.360967456005464e-5,false
0.001,1.0,5.0,1.0,-0.052221893837579754,3.347749856028943e-5,false
0.001,1.0,5.0,2.5,-0.05219060119791787,1.5343456241918078e-5,false
0.001,1.0,5.0,5.0,-0.05217528722061826,1.819157559654622e-5,false
0.001,1.0,5.0,10.0,-0.05217010217955843,1.808660960652333e-5,false
0.001,1.0,5.0,20.0,-0.05217182621145772,1.3870481353391223e-5,false
0.001,2.5,0.001,0.001,-0.05229054098811826,2.6765184444475537e-5,false
0.001,2.5,0.001,0.5,-0.05214237854077544,3.111252711188626e-5,false
0.001,2.5,0.001,1.0,-0.052156755833888,2.3146430335179643e-5,false
0.001,2.5,0.001,2.5,-0.05217154818426508,2.1513233143044037e-5,false
0.001,2.5,0.001,5.0,-0.052174392344542374,2.508323919340488e-5,false
0.001,2.5,0.001,10.0,-0.05216915015809678,2.894906763097446e-5,false
0.001,2.5,0.001,20.0,-0.05215816052083055,3.518162193982036e-5,false
0.001,2.5,0.25,0.001,-0.0522109162607995,2.9436987560340786e-5,false
0.001,2.5,0.25,0.5,-0.05246904967019916,4.953692633000726e-5,false
0.001,2.5,0.25,1.0,-0.05243615580188986,4.4845945833846155e-5,false
