fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
22.csv,115964,c479-052,2,5.0,20.0,0.001,5.0,-0.10880061011633174,288.8565617972,4.598144570976094,21,2357,-0.10879365642165528,3.671770057655842e-5,-0.10880113594084391,9.558936321031222e-6
22.csv,115964,c479-052,3,5.0,5.0,5.0,5.0,-0.10876752626790517,53.047873009,1.1644365133052823,21,2301,-0.10876926699100528,1.4124777649675671e-5,-0.10876760822623778,7.034153903258086e-6
22.csv,115964,c479-052,4,5.0,0.001,0.001,2.5,-0.10881396646894358,300.1851655874,0.3676800362387562,21,2062,-0.1088429657923589,7.634839719673412e-5,-0.10881495321223834,9.586274280726479e-6
22.csv,115964,c479-052,1,0.001,10.0,0.25,1.0,-0.10902057295050768,300.13865809960004,5.0,22,255,-0.10893090723553406,9.211418070233869e-5,-0.10902047822082413,9.97848391438031e-6
22.csv,115964,c479-052,2,1.25,0.5,1.25,0.001,-0.10877792440538797,255.11729630280007,0.177449500364657,22,1450,-0.10875080056388219,2.5753859746717956e-5,-0.10877804991565265,8.779773126979884e-6
22.csv,115964,c479-052,3,5.0,20.0,5.0,0.5,-0.10876751206905555,81.991688617,1.1454295411223034,22,2396,-0.10882550629047803,5.756666782900601e-5,-0.10876736820895225,8.20013126652983e-6
22.csv,115964,c479-052,4,0.75,1.0,0.25,0.001,-0.10884859966982102,254.9152918656,0.48501043759634727,22,1135,-0.10879044699832137,4.1685355723564325e-5,-0.10884513536667187,9.686926856374975e-6
22.csv,115964,c479-052,1,0.25,20.0,0.001,2.5,-0.10888672865075047,300.1587798496,3.014143469550425,23,641,-0.10887659777752584,7.600939001307045e-5,-0.10888620631985584,9.962602857306458e-6
22.csv,115964,c479-052,2,0.75,0.001,0.001,20.0,-0.10883564429038324,300.1688492874,1.1331564843679824,23,1036,-0.10887869549627402,7.194663195915038e-5,-0.108836321739033,9.879308129274528e-6
22.csv,115964,c479-052,3,5.0,1.0,0.25,0.5,-0.10876627975979344,78.9110059432,0.32358111523442223,23,2165,-0.10876399687527297,2.9997470054599083e-5,-0.10876857342313724,8.249556407700303e-6
22.csv,115964,c479-052,4,0.25,20.0,5.0,0.001,-0.10877757710918508,288.108350444,1.9523000157029067,23,680,-0.10882006838566453,5.793122067624618e-5,-0.10877905210511414,9.674485435296284e-6
22.csv,115964,c479-052,1,0.25,5.0,5.0,0.001,-0.10879894453002442,270.3115978026,4.516746342933652,24,582,-0.10879128200894572,3.523775131733255e-5,-0.10879911244231816,9.446910019864839e-6
22.csv,115964,c479-052,2,1.25,10.0,0.75,0.5,-0.10876859070552528,85.2370585994,1.7648571287922852,24,1640,-0.1087696174780577,2.1234738436668624e-5,-0.1087705222405673,7.432398805318612e-6
22.csv,115964,c479-052,3,0.25,20.0,0.25,20.0,-0.10883046341376262,300.1688542936,5.0,24,651,-0.10882831454867074,5.650702258608168e-5,-0.10882997290795225,9.786643236325865e-6
22.csv,115964,c479-052,4,0.75,20.0,0.25,5.0,-0.10879386918638076,255.00809824799998,4.31031428939025,24,1335,-0.1087846080507434,2.8938575106543805e-5,-0.1087900617746562,9.022319771790428e-6
22.csv,115964,c479-052,1,2.5,20.0,0.5,20.0,-0.10876707566479825,96.23125235059999,1.9271508901841894,25,2030,-0.10877103712271102,2.154977429738386e-5,-0.10876766012390213,8.387360666951816e-6
22.csv,115964,c479-052,2,0.75,20.0,5.0,2.5,-0.1087753937092569,167.32803936680003,4.358344332690078,25,1369,-0.10880423488796305,4.918123614241595e-5,-0.10877290486766343,8.408466154555958e-6
22.csv,115964,c479-052,3,5.0,20.0,1.25,0.5,-0.10876643988013299,92.6219516328,4.200227406188354,25,2382,-0.10876592280339155,2.129496108936105e-5,-0.10876655901249431,8.334647954938323e-6
22.csv,115964,c479-052,4,2.5,0.001,0.001,5.0,-0.10879967343377248,300.16428797919997,0.7370958140644787,25,1720,-0.10879336205976488,2.4633409136090878e-5,-0.10879933211486985,9.290806623906003e-6
22.csv,115964,c479-052,1,2.5,20.0,5.0,2.5,-0.10876512254420986,87.84368753179999,1.558556926300803,26,2055,-0.1087611104500859,1.6745027358009463e-5,-0.10876772162635068,7.344625039070511e-6
22.csv,115964,c479-052,2,2.5,10.0,5.0,1.0,-0.1087647466435723,71.23692317039999,0.5658537160591811,26,2005,-0.10876470220608218,1.8869167967308846e-5,-0.10876566593826838,6.623792352540945e-6
22.csv,115964,c479-052,3,2.5,0.5,5.0,20.0,-0.10871225327636855,187.33506298380001,1.5735535663321698,26,1813,-0.10879230305416454,3.9817038374213226e-5,-0.10882476829731809,7.1179227254998064e-6
22.csv,115964,c479-052,4,5.0,2.5,0.25,2.5,-0.10876744909570009,85.5390816948,0.5314273053726752,26,2216,-0.10876396902508322,1.866168071646568e-5,-0.10876757832046748,8.211601416031053e-6
22.csv,115964,c479-052,1,1.25,0.5,5.0,20.0,-0.10876653822881927,85.1094427324,1.6722179001829829,27,1470,-0.10872097393325938,1.9747807044486933e-5,-0.10880367656965731,7.339223249565637e-6
22.csv,115964,c479-052,2,1.25,1.0,5.0,20.0,-0.10878712486440544,130.684728403,1.1690869592700757,27,1519,-0.10873333801294974,1.750096865054433e-5,-0.10878789749055787,7.3009806086275074e-6
22.csv,115964,c479-052,3,5.0,0.5,2.5,20.0,-0.10876629439951459,80.5843982918,1.2380046596254264,27,2149,-0.10873358677646225,2.993676275633799e-5,-0.10879140061260742,8.130115026444766e-6
22.csv,115964,c479-052,4,2.5,0.5,5.0,20.0,-0.10887971246195925,195.58474927419996,1.93504214840975,27,1813,-0.10871709985332689,9.791269558896429e-6,-0.10882476829731809,7.1179227254998064e-6
22.csv,115964,c479-052,1,0.25,0.5,5.0,5.0,-0.10884547472818655,237.57382267059998,1.411276027649898,28,439,-0.10874527628792915,4.0309484331781634e-5,-0.10884475417604438,9.247026511691181e-6
22.csv,115964,c479-052,2,2.5,1.0,1.25,20.0,-0.10876751860126346,79.4335295662,1.2379470608058045,28,1848,-0.10873748540768031,2.1956189868906585e-5,-0.10876861894101461,7.453948957080559e-6
22.csv,115964,c479-052,3,0.25,0.5,5.0,20.0,-0.10883005533205752,300.1807719712,0.7818236760956532,28,441,-0.10871499642066978,4.4374813589947575e-5,-0.10882561101608822,9.45361591718792e-6
22.csv,115964,c479-052,4,5.0,0.5,0.001,10.0,-0.10879008797724438,300.20687350779997,2.2579224759975505,28,2113,-0.10885856935224504,7.832597557868132e-5,-0.10879100084818752,9.804595306544655e-6
22.csv,115964,c479-052,1,2.5,2.5,5.0,0.5,-0.10876723164019247,58.8854420172,1.2633870290464206,29,1906,-0.10876527042658388,2.3590732149631547e-5,-0.10876636609589763,7.375435244521023e-6
22.csv,115964,c479-052,2,0.5,1.0,0.001,10.0,-0.10890127201083775,300.18001813899997,2.897919384796885,29,790,-0.10883290078965184,6.822933721768897e-5,-0.10889980055723548,9.933736842255559e-6
22.csv,115964,c479-052,3,0.75,5.0,5.0,5.0,-0.10876787504432271,79.5449370524,2.0683766552526874,29,1272,-0.10877751256631361,1.9830727530852303e-5,-0.10876932279198641,7.963458648410844e-6
22.csv,115964,c479-052,4,0.25,0.5,0.001,0.001,-0.10960190038001744,300.2591088274,0.4390200639667533,29,393,-0.10893022496681934,9.926830189310269e-5,-0.10959476750239668,9.998721244875967e-6
22.csv,115964,c479-052,1,5.0,2.5,1.25,20.0,-0.10876734342678733,70.37532108420001,2.0258914937063626,30,2240,-0.10874270778339604,1.614413131197445e-5,-0.10876358717308177,7.259705565760553e-6
22.csv,115964,c479-052,2,5.0,0.5,0.25,20.0,-0.10876644784465271,116.2331060386,1.2660857089370585,30,2121,-0.10876584678394559,4.6293125927842866e-5,-0.10876898862090634,8.74214591783281e-6
